,Cancel,Delay 1 to 2 hours,Delay 30 mins to 1 hours,Delay 5 to 30 mins,Delay more than 2 hours,On time
2023-12-23,0,2,2,11,0,5
2023-12-24,0,1,0,10,1,7
2023-12-25,0,1,1,13,0,7
2023-12-26,0,0,0,11,1,9
2023-12-27,0,1,2,9,0,9
2023-12-28,0,3,2,13,0,4
2023-12-29,1,0,2,9,0,10
2023-12-30,1,1,1,10,1,6
2023-12-31,1,1,1,8,0,8
2024-01-01,0,0,2,8,0,12
2024-01-02,1,1,1,8,0,10
2024-01-03,0,1,3,10,0,6
2024-01-04,0,1,1,9,0,9
2024-01-05,0,0,1,9,1,8
2024-01-06,0,0,1,10,0,8
2024-01-07,0,0,1,10,0,7
2024-01-08,1,0,1,8,0,10
2024-01-09,1,0,0,6,0,11
2024-01-10,1,1,1,7,0,9
2024-01-11,1,0,2,11,0,5
2024-01-12,0,1,1,5,0,11
2024-01-13,0,1,0,7,1,10
2024-01-14,0,0,0,7,0,10
2024-01-15,0,0,1,8,0,11
2024-01-16,0,0,0,10,0,7
2024-01-17,0,0,1,9,0,8
2024-01-18,0,2,1,4,0,10
2024-01-19,0,0,0,12,0,6
2024-01-20,0,0,1,10,0,7
2024-01-21,0,0,0,9,0,8
2024-01-22,0,0,0,12,0,8
2024-01-23,0,0,1,7,0,10
2024-01-24,0,0,2,8,0,9
2024-01-25,0,0,1,8,0,9
2024-01-26,0,0,1,11,0,6
2024-01-27,0,0,0,11,1,4
2024-01-28,0,1,2,10,0,5
2024-01-29,0,1,0,12,0,6
2024-01-30,0,0,4,6,0,7
2024-01-31,0,0,0,8,0,9
2024-02-01,1,0,1,13,0,6
2024-02-02,0,0,3,14,0,3
2024-02-03,1,0,2,15,0,5
2024-02-04,0,0,1,12,0,6
2024-02-05,0,0,2,11,0,9
2024-02-06,0,1,0,14,0,7
2024-02-07,0,0,1,14,0,7
2024-02-08,0,1,3,14,0,4
2024-02-09,0,1,4,9,0,7
2024-02-10,0,0,3,10,1,8
2024-02-11,0,0,2,8,0,10
2024-02-12,0,2,0,10,0,10
2024-02-13,0,1,2,8,0,10
2024-02-14,0,0,3,4,0,15
2024-02-15,0,1,1,10,0,10
2024-02-16,0,0,0,9,0,13
2024-02-17,0,0,1,8,1,12
2024-02-18,0,0,0,9,0,11
2024-02-19,0,0,0,7,0,16
2024-02-20,0,0,1,6,0,14
2024-02-21,0,1,2,10,0,9
2024-02-22,0,0,2,8,0,11
2024-02-23,0,0,2,9,0,11
2024-02-24,0,1,2,9,0,9
2024-02-25,0,1,2,8,0,10
2024-02-26,0,0,2,11,0,9
2024-02-27,0,1,1,9,1,9
2024-02-28,0,1,0,12,0,8
2024-02-29,0,1,1,10,1,9
2024-03-01,0,1,1,11,0,9
2024-03-02,0,0,1,12,1,8
2024-03-03,0,2,3,7,0,9
2024-03-04,0,0,0,9,0,13
2024-03-05,0,1,2,8,0,10
2024-03-06,0,0,1,14,0,7
2024-03-07,0,0,2,9,0,10
2024-03-08,0,0,2,11,0,9
2024-03-09,0,1,2,9,0,10
2024-03-10,0,1,1,13,0,6
2024-03-11,0,0,0,9,0,13
2024-03-12,0,0,1,10,1,7
2024-03-13,0,1,2,8,0,10
2024-03-14,0,0,2,4,0,15
2024-03-15,0,0,3,10,0,9
2024-03-16,0,0,0,7,0,15
2024-03-17,0,0,0,9,0,12
2024-03-18,0,0,3,8,0,12
2024-03-19,0,0,1,6,0,14
2024-03-20,0,1,0,13,0,7
2024-03-21,0,1,0,9,0,11
2024-03-22,0,0,0,22,0,15
2024-03-23,0,0,0,11,0,11
2024-03-24,0,1,1,9,0,9
2024-03-25,0,0,2,14,0,8
2024-03-26,0,0,2,14,0,6
2024-03-27,0,0,4,8,1,9
2024-03-28,0,0,1,7,0,15
2024-03-29,0,0,1,15,0,7
2024-03-30,0,1,3,11,0,9
2024-03-31,0,1,1,13,2,5
